timestamp,path_id,point_index,x,y,z,qx,qy,qz,qw,topic
1774262935.486758,0,0,4.584697318991525,-0.10461570118812402,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774262935.486758,0,1,3.670571804046631,0.10117483139038086,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774262949.7933314,0,0,3.8648224161957576,0.07437467581300286,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774262949.7933314,0,1,0.5450894832611084,0.0454411506652832,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774262997.6987786,0,0,0.7405786524241318,0.07343108731034492,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774262997.6987786,0,1,0.5417763423919678,1.1620726585388184,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263057.6962166,0,0,0.7896968599545895,1.1500863287208967,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263057.6962166,0,1,4.392393112182617,1.124298095703125,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263111.1010337,0,0,4.198770248924516,1.1456850656101771,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263111.1010337,0,1,7.505795478820801,1.0426464080810547,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263151.4127808,0,0,7.315401971831502,1.0497729583015531,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263151.4127808,0,1,7.488017559051514,2.0662951469421387,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263154.6151536,0,0,7.327316197791689,1.967011892514331,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263154.6151536,0,1,4.171625137329102,2.0878353118896484,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263203.4136028,0,0,4.369624616178961,2.098414143641338,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263203.4136028,0,1,0.7334710359573364,2.1907639503479004,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263260.3214216,0,0,0.9319757635443224,2.2116968728202084,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263260.3214216,0,1,0.7540454864501953,3.344820022583008,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263268.42573,0,0,0.9501923490512763,3.346072727044557,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774263268.42573,0,1,4.030858993530273,3.2484703063964844,0.0,0.0,0.0,0.0,1.0,/simple_line_path
