timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,topic
1774343096.5503795,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.6002038,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.649941,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.7002275,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.749947,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.8000314,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.8499074,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.8999345,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343096.9498382,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.0003698,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.0499191,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.099758,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.150359,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.1998804,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.250106,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.299899,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.3499067,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.399923,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.4498737,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.4998746,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.5498471,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.6001916,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.6499798,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.699923,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.749876,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.79997,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.849902,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.899788,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.9500272,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343097.9998205,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.0503638,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.0998764,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.1502628,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.2001166,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.2498684,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.299824,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.3497813,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.4001,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.4498231,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.4999092,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.5498998,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.5998616,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.6501234,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.6998465,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.7504132,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.800099,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.8498507,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.8998148,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.950238,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343098.9996932,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343099.0498562,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343099.0998354,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
1774343099.1500208,0.0,0.0,0.0,0.0,0.0,0.0,/cmd_vel
