timestamp,path_id,point_index,x,y,z,qx,qy,qz,qw,topic
1774428472.5073779,0,0,4.59098835382038,-0.007518179066720504,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428472.5073779,0,1,3.670571804046631,0.10117483139038086,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428486.5120194,0,0,3.8534685277833347,0.10153626933851809,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428486.5120194,0,1,0.5250894832611084,0.0454411506652832,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428536.5221202,0,0,0.7205185874210516,0.020466291834813938,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428536.5221202,0,1,0.5417763423919678,1.1620726585388184,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428542.8208423,0,0,0.7338440925957554,1.114282402138195,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428542.8208423,0,1,4.392393112182617,1.124298095703125,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428598.9279652,0,0,4.21163355211475,1.141064706450408,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428598.9279652,0,1,7.505795478820801,1.0426464080810547,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428643.9391274,0,0,7.307641379742369,1.0397412020855987,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428643.9391274,0,1,7.488017559051514,2.0662951469421387,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428647.1433258,0,0,7.338934964078949,1.9455423906746439,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428647.1433258,0,1,4.171625137329102,2.0878353118896484,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428696.9410346,0,0,4.369462940841916,2.0889302157121428,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428696.9410346,0,1,0.7334710359573364,2.1907639503479004,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428754.2565253,0,0,0.9252299516382685,2.183534452832014,0.0,0.0,0.0,0.0,1.0,/simple_line_path
1774428754.2565253,0,1,0.7540454864501953,3.344820022583008,0.0,0.0,0.0,0.0,1.0,/simple_line_path
