t_rel,deviation,x_actual,y_actual,plan_path_id,plan_start_time,plan_topic,plan_is_two_point_line,dev_method,line_t,in_segment
0.0,,4.576987343572504,-0.17484526792475105,0,1774262935.486758,/simple_line_path,True,infinite_line,-0.008433831261092145,False
0.15985679626464844,,4.576753199571419,-0.17284893884952646,0,1774262935.486758,/simple_line_path,True,infinite_line,-0.0077221225147741344,False
0.32092809677124023,,4.575621429034293,-0.18043361548493053,0,1774262935.486758,/simple_line_path,True,infinite_line,-0.008321540720394278,False
0.48154687881469727,0.07774044478824532,4.56554850286837,-0.17999091803283085,0,1774262935.486758,/simple_line_path,True,infinite_line,0.0022698994010616263,True
0.6420207023620605,0.07729564842348906,4.5587260394047675,-0.17799909740716724,0,1774262935.486758,/simple_line_path,True,infinite_line,0.009840142559862214,True
0.8031554222106934,0.069957769453483,4.529641993846748,-0.16393009059372612,0,1774262935.486758,/simple_line_path,True,infinite_line,0.043419378641810266,True
0.9638156890869141,0.07104980437340992,4.5268734177165175,-0.16442618611820944,0,1774262935.486758,/simple_line_path,True,infinite_line,0.046185668985191296,True
1.1257076263427734,0.07219384589566497,4.522694157418196,-0.16465801258570847,0,1774262935.486758,/simple_line_path,True,infinite_line,0.05048267051607721,True
1.286177396774292,0.08041603685248397,4.546257847235012,-0.17839070487179037,0,1774262935.486758,/simple_line_path,True,infinite_line,0.022729918346360144,True
1.4479756355285645,0.08680238365170581,4.542986189038516,-0.18420035760699416,0,1774262935.486758,/simple_line_path,True,infinite_line,0.02477454865295671,True
1.609877586364746,0.09124262821967787,4.533066841292568,-0.18651865631015083,0,1774262935.486758,/simple_line_path,True,infinite_line,0.03455893087439316,True
1.768143892288208,0.09449999349083851,4.526683771900071,-0.18842056885747932,0,1774262935.486758,/simple_line_path,True,infinite_line,0.040759027411293954,True
1.92872953414917,0.09467255793062182,4.5415546723164395,-0.19194523140650396,0,1774262935.486758,/simple_line_path,True,infinite_line,0.024449669609547788,True
2.08925199508667,0.09588787310243074,4.536124434573311,-0.19196849169130276,0,1774262935.486758,/simple_line_path,True,infinite_line,0.030098043418639128,True
2.2518038749694824,0.09770404427137372,4.529298995147856,-0.19229355381354132,0,1774262935.486758,/simple_line_path,True,infinite_line,0.037128325845346956,True
2.4124717712402344,0.09535007831867158,4.512900743739208,-0.18618905428302734,0,1774262935.486758,/simple_line_path,True,infinite_line,0.05563261641727722,True
2.5733447074890137,0.09732833297026103,4.508125777897815,-0.18714186478449127,0,1774262935.486758,/simple_line_path,True,infinite_line,0.06038085842490748,True
2.7350380420684814,0.09917654866016805,4.506355498277315,-0.18863780533994146,0,1774262935.486758,/simple_line_path,True,infinite_line,0.06187339188771955,True
2.8957488536834717,0.09591403344107731,4.498429438940099,-0.1835093022511058,0,1774262935.486758,/simple_line_path,True,infinite_line,0.0713278849663154,True
3.056262493133545,0.09835994145190302,4.4925755720469995,-0.18469858478986567,0,1774262935.486758,/simple_line_path,True,infinite_line,0.07714402419082994,True
3.217493772506714,0.09963569289532571,4.487898245555524,-0.18495329140283942,0,1774262935.486758,/simple_line_path,True,infinite_line,0.08195423668459974,True
3.3794875144958496,0.10632201987070383,4.481765110632872,-0.1904262481408034,0,1774262935.486758,/simple_line_path,True,infinite_line,0.08705708291033779,True
3.5392606258392334,0.10998917983205142,4.476683521251973,-0.19304120417574078,0,1774262935.486758,/simple_line_path,True,infinite_line,0.09173497963533955,True
3.7010836601257324,0.11082913298313882,4.471391336245941,-0.1927107870893569,0,1774262935.486758,/simple_line_path,True,infinite_line,0.09732251564993606,True
3.8618216514587402,0.11367729216461693,4.461522813892561,-0.19340859728635829,0,1774262935.486758,/simple_line_path,True,infinite_line,0.10743380961608182,True
4.021985769271851,0.11779178463081862,4.460702525878086,-0.19744139747244105,0,1774262935.486758,/simple_line_path,True,infinite_line,0.10734261581652112,True
4.181769609451294,0.12101110701758393,4.455591488524753,-0.19959067850314677,0,1774262935.486758,/simple_line_path,True,infinite_line,0.11216032360912764,True
4.34258508682251,0.12391825682950657,4.447920528884736,-0.20084367724785268,0,1774262935.486758,/simple_line_path,True,infinite_line,0.11985343914268212,True
4.503446340560913,0.12748579169186816,4.434136393029217,-0.2013973728865231,0,1774262935.486758,/simple_line_path,True,infinite_line,0.13407534992254788,True
4.664508104324341,0.1332124573820211,4.426125278632735,-0.2054638748494197,0,1774262935.486758,/simple_line_path,True,infinite_line,0.14146316277368554,True
4.8253138065338135,0.14055818292715022,4.41430792400479,-0.21033308522010252,0,1774262935.486758,/simple_line_path,True,infinite_line,0.1526257878512305,True
4.986942291259766,0.1470565075377831,4.381418305124854,-0.20958983879078522,0,1774262935.486758,/simple_line_path,True,infinite_line,0.18704383617500772,True
5.1480631828308105,0.15425121096918873,4.364109241365639,-0.21306793826221554,0,1774262935.486758,/simple_line_path,True,infinite_line,0.20425035507567363,True
5.308650016784668,0.16060455286674633,4.350862354128437,-0.2165981081858436,0,1774262935.486758,/simple_line_path,True,infinite_line,0.21721523388275396,True
5.470902681350708,0.17048326927044555,4.338557792056302,-0.22395402098263187,0,1774262935.486758,/simple_line_path,True,infinite_line,0.2283022633616993,True
5.631996393203735,0.1766810088938724,4.326637565963243,-0.22762335610363668,0,1774262935.486758,/simple_line_path,True,infinite_line,0.23985323699115602,True
5.7935285568237305,0.18928903973563113,4.30519445144709,-0.23571959292947964,0,1774262935.486758,/simple_line_path,True,infinite_line,0.2602815693668605,True
5.954247713088989,0.19360023980475355,4.284654998140044,-0.23551478920946528,0,1774262935.486758,/simple_line_path,True,infinite_line,0.2817147317040515,True
6.119999885559082,0.19351450082484475,4.268504212410428,-0.23179099368132405,0,1774262935.486758,/simple_line_path,True,infinite_line,0.2994033488543032,True
6.282759428024292,0.2011312324545547,4.247283894853363,-0.23482117087373341,0,1774262935.486758,/simple_line_path,True,infinite_line,0.320787155513026,True
6.442751407623291,0.2085691494150124,4.228787635541147,-0.23828130593717556,0,1774262935.486758,/simple_line_path,True,infinite_line,0.3392339630355714,True
6.602870941162109,0.22693831732655886,4.20006348079474,-0.25064373518994454,0,1774262935.486758,/simple_line_path,True,infinite_line,0.3662431676679707,True
6.768587350845337,0.23043596415640988,4.18694271731466,-0.25127513398379725,0,1774262935.486758,/simple_line_path,True,infinite_line,0.3797561789393734,True
6.9302709102630615,0.23511201772599138,4.178617714119013,-0.25419406664788713,0,1774262935.486758,/simple_line_path,True,infinite_line,0.3877397861331343,True
7.091310977935791,0.22860206036886344,4.171042727610103,-0.24581588228987264,0,1774262935.486758,/simple_line_path,True,infinite_line,0.39759045100449764,True
7.251211643218994,0.23385208880869826,4.158029763076357,-0.24826778750422973,0,1774262935.486758,/simple_line_path,True,infinite_line,0.41056451225434454,True
7.412358283996582,0.23724136152624858,4.146489296714271,-0.24914386088608234,0,1774262935.486758,/simple_line_path,True,infinite_line,0.42237480842640135,True
7.57429838180542,0.24545482616335806,4.140790519707825,-0.25627995880522636,0,1774262935.486758,/simple_line_path,True,infinite_line,0.4266355848955707,True
7.735251426696777,0.24457318071335452,4.1324594569312945,-0.2535007359218492,0,1774262935.486758,/simple_line_path,True,infinite_line,0.4359611043458785,True
7.896752834320068,0.24612568130782006,4.117662765751495,-0.2517610177555408,0,1774262935.486758,/simple_line_path,True,infinite_line,0.45177482034413174,True
8.057764768600464,0.2560749391998139,4.116313278404134,-0.2616554750213736,0,1774262935.486758,/simple_line_path,True,infinite_line,0.4508606888132493,True
8.218396186828613,0.2586857218450088,4.109360942393037,-0.26276646801922077,0,1774262935.486758,/simple_line_path,True,infinite_line,0.45783887668563894,True
8.380337476730347,0.2585137787085055,4.097034035985611,-0.25981515348054823,0,1774262935.486758,/simple_line_path,True,infinite_line,0.4713651041383637,True
8.539182901382446,0.2576342186065323,4.089365087295374,-0.2571871251390481,0,1774262935.486758,/simple_line_path,True,infinite_line,0.4799658083716675,True
8.7024564743042,0.25058793719571887,4.088647374604527,-0.24980292312087965,0,1774262935.486758,/simple_line_path,True,infinite_line,0.48244387192991756,True
8.864776611328125,0.24592846490052703,4.078475888292072,-0.2427370044512965,0,1774262935.486758,/simple_line_path,True,infinite_line,0.4946903617222709,True
9.025801420211792,0.24530524507794785,4.070370507499551,-0.2402734809755987,0,1774262935.486758,/simple_line_path,True,infinite_line,0.5037069093371862,True
9.188602685928345,0.24032486483120785,4.062354283317035,-0.233363821733049,0,1774262935.486758,/simple_line_path,True,infinite_line,0.5136727688631815,True
9.349200963973999,0.24098147157000527,4.0518405207789305,-0.23166997326247465,0,1774262935.486758,/simple_line_path,True,infinite_line,0.525016456667572,True
9.510246992111206,0.241296252324801,4.042216413039956,-0.2298260255540865,0,1774262935.486758,/simple_line_path,True,infinite_line,0.5354690405444753,True
9.671096801757812,0.24557730787078816,4.012525727142442,-0.22753017140915097,0,1774262935.486758,/simple_line_path,True,infinite_line,0.5669203600927198,True
9.831725120544434,0.24575696679096035,4.003818334869042,-0.2257540937653869,0,1774262935.486758,/simple_line_path,True,infinite_line,0.5764025748596416,True
9.99196481704712,0.24329931863175314,3.991178250369142,-0.2203893663865893,0,1774262935.486758,/simple_line_path,True,infinite_line,0.5908205605287955,True
10.154025077819824,0.24946132910856753,3.9693156322429903,-0.2217838186318984,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6132565154100308,True
10.315170764923096,0.24813351892171473,3.9589210340558987,-0.21808271590600986,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6249466170406436,True
10.474577188491821,0.24457984958631884,3.9456859760791536,-0.2114605951405392,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6402787971998738,True
10.634770631790161,0.24122838137546343,3.945581192128307,-0.208001660567905,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6411986428521655,True
10.79647707939148,0.23556947900178993,3.960405812270343,-0.2055384935999159,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6263409713900343,True
10.958823204040527,0.23527088755252767,3.9495945752217603,-0.2027985729161607,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6382395732714214,True
11.119675636291504,0.2336306113473592,3.9391451523329097,-0.19876484180106674,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6500647224888476,True
11.282371997833252,0.2300282921317075,3.9128911625106806,-0.18916199467766967,0,1774262935.486758,/simple_line_path,True,infinite_line,0.679650543339351,True
11.442576885223389,0.23055114893220205,3.901347093412472,-0.1870991033733424,0,1774262935.486758,/simple_line_path,True,infinite_line,0.6921534609667223,True
11.603546857833862,0.22842731627118829,3.8943544714542035,-0.18334791869335634,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7003132500341978,True
11.763459920883179,0.2258749121661524,3.8776006646590613,-0.17695997106582986,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7192541738794258,True
11.924225568771362,0.2247801336592905,3.872201883175248,-0.17462240454456535,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7254231556012538,True
12.085180044174194,0.2231825568439179,3.8672233711705895,-0.17186406845455457,0,1774262935.486758,/simple_line_path,True,infinite_line,0.731253188500522,True
12.245512008666992,0.21790488416327575,3.8671126831050584,-0.16642939319570776,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7326422795594656,True
12.407232761383057,0.21909868264582058,3.8621859743369304,-0.16654395416683307,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7377449916001799,True
12.567967176437378,0.2220469887635675,3.8576368526576736,-0.16854193626465963,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7420131103306576,True
12.729164838790894,0.22268669867073718,3.8559697671937903,-0.16882235715863994,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7436831089734319,True
12.889514684677124,0.2214992621879399,3.8520513837210792,-0.16672308511832987,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7482548834600512,True
13.051555871963501,0.22025593420296508,3.8489241364252633,-0.16474462560421624,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7519746295079552,True
13.212538480758667,0.22044156195555314,3.84683936567664,-0.16446556954446803,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7542106485076373,True
13.376307964324951,0.21684631408467678,3.847025725320375,-0.16082229731811537,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7548705701389661,True
13.538697004318237,0.21663723846066205,3.8414979395259916,-0.1593635583241154,0,1774262935.486758,/simple_line_path,True,infinite_line,0.7609678775663221,True
